id;region;municipality;settlement;type;population;children;latitude_dms;longitude_dms;latitude_dd;longitude_dd;oktmo;dadata;rosstat
12;Белгородская область;Борисовский район;Беленькое;с;1463;262;50.34.51;035.54.48;50.5808333333333;35.9133333333333;14615416101;0;1
51;Оренбургская область;Кваркенский район;Аландское;с;645;98;52.13.38;059.47.40;52.2272222222222;59.7944444444444;53622402101;0;1
72;Краснодарский край;Кореновский район;Пролетарский;х;1483;178;45.30.30;039.16.29;45.5083333333333;39.2747222222222;3621413131;0;1
93;Забайкальский край;Газимуро-Заводский район;Газимурский Завод;с;2628;696;51.32.53;118.20.27;51.5480555555556;118.340833333333;76610409101;0;1
96;Московская область;Луховицкий;Ловцы;с;1073;164;55.00.21;039.15.07;55.0058333333333;39.2519444444444;46747000351;0;1
102;Республика Тыва;Каа-Хемский кожуун;Кундустуг;с;629;258;51.34.27;095.10.48;51.5741666666667;95.18;93620415101;0;1
103;Волгоградская область;Камышинский район;Дворянское;с;1664;154;50.14.29;045.17.00;50.2413888888889;45.2833333333333;18618422106;0;1
109;Удмуртская республика;Воткинский;Большая Кивара;д;733;168;57.11.10;054.11.14;57.1861111111111;54.1872222222222;94608410101;0;1
111;Республика Северная Осетия - Алания;Моздокский;Ново-Георгиевское;с;765;87;43.45.45;044.42.11;43.7625;44.7030555555556;90630405121;0;1
134;Ростовская область;Семикаракорский;Бакланники;х;906;132;47.26.39;040.59.02;47.4441666666667;40.9838888888889;60651404101;0;1
150;Оренбургская область;Новоорский район;Новоорск;п;11280;3154;51.22.54;058.59.10;51.3816666666667;58.9861111111111;53630414101;0;1
159;Ленинградская область;Всеволожский муниципальный район;Агалатово;д;6113;990;60.13.08;030.17.02;60.2188888888889;30.2838888888889;41612408101;0;1
161;Белгородская область;Чернянский район;Верхнее Кузькино;с;602;129;50.54.27;037.33.18;50.9075;37.555;14654460106;0;1
164;Алтайский край;Каменский;Корнилово;с;1214;239;53.31.02;081.04.16;53.5172222222222;81.0711111111111;1616437101;0;1
169;Республика Башкортостан;Шаранский;Нижнезаитово;с;622;94;54.49.48;053.40.29;54.83;53.6747222222222;80658435101;0;1
173;Самарская область;Кинель-Черкасский район;Кинель-Черкассы;с;16306;2943;53.28.04;051.30.11;53.4677777777778;51.5030555555556;36620432101;0;1
180;Алтайский край;Залесовский;Думчево;с;522;88;53.57.16;084.17.18;53.9544444444444;84.2883333333333;1612422101;0;1
187;Иркутская область;Черемховский район;Верхний Булай;с;610;159;53.02.02;103.01.52;53.0338888888889;103.031111111111;25648405101;0;1
197;Ленинградская область;Ломоносовский муниципальный район;Оржицы;д;2696;391;59.45.09;029.42.43;59.7525;29.7119444444444;41630438101;0;1
201;Тверская область;Нелидовский район;Межа;п;510;85;56.12.29;032.44.55;56.2080555555556;32.7486111111111;28759000556;0;1
205;Омская область;Полтавский район;Вольное;с;1007;233;54.17.13;071.21.23;54.2869444444444;71.3563888888889;52648402101;0;1
222;Республика Саха (Якутия);Булунский;Кюсюр;с;1218;423;70.41.10;127.21.42;70.6861111111111;127.361666666667;98612412101;0;1
232;Ростовская область;Чертковский;Чертково;п;10476;2251;49.22.55;040.09.14;49.3819444444444;40.1538888888889;60658454101;0;1
238;Кемеровская область;Прокопьевский;Школьный;п;545;141;54.00.07;086.49.33;54.0019444444444;86.8258333333333;32522000376;0;1
257;Курганская область;Половинский район;Половинное;с;4681;1246;54.47.27;065.58.41;54.7908333333333;65.9780555555556;37628428101;0;1
265;Краснодарский край;Туапсинский район;Агуй-Шапсуг;аул;2223;351;44.11.02;039.04.06;44.1838888888889;39.0683333333333;3655402111;0;1
284;Кемеровская область;Яйский район;Судженка;п/ст;663;101;56.06.42;086.09.57;56.1116666666667;86.1658333333333;32543000231;0;1
295;Республика Саха (Якутия);Верхоянский;Верхоянск;г;1095;250;67.33.00;133.23.00;67.55;133.383333333333;98616103001;0;1
300;Красноярский край;Сухобузимский район;Кононово;п;937;163;56.30.18;093.42.56;56.505;93.7155555555556;4651410101;0;1
338;Республика Крым;Сакский район;Орехово;с;3049;0;45.07.52;033.37.58;45.1311111111111;33.6327777777778;35643452101;0;1
344;Республика Крым;Сакский район;Добрушино;с;1213;0;45.22.32;033.21.45;45.3755555555556;33.3625;35643418101;0;1
345;Республика Дагестан;Кайтагский район;Тубенаул;с;563;172;42.07.52;047.50.14;42.1311111111111;47.8372222222222;82623460101;1;0
348;Омская область;Любинский район;Казанка;с;818;105;55.16.05;072.45.05;55.2680555555556;72.7513888888889;52629410101;0;1
351;Забайкальский край;Агинский район;Сахюрта;с;932;156;51.01.37;114.13.25;51.0269444444444;114.223611111111;76602416101;0;1
